 app.py: 2022-09-04 20:30:43,943 - INFO - Starting Bot
 sniffer.py: 2022-09-04 20:30:43,943 - INFO - Local ip = 192.168.249.171
 sniffer.py: 2022-09-04 20:30:43,943 - INFO - Launching Sniffer
 handler.py: 2022-09-04 20:30:44,420 - INFO - 127.0.0.1 - - [2022-09-04 20:30:44] "GET /templates/home.html HTTP/1.1" 200 1625 0.003995
 handler.py: 2022-09-04 20:30:44,440 - INFO - 127.0.0.1 - - [2022-09-04 20:30:44] "GET /css/style.css HTTP/1.1" 200 851 0.002552
 handler.py: 2022-09-04 20:30:44,442 - INFO - 127.0.0.1 - - [2022-09-04 20:30:44] "GET /eel.js HTTP/1.1" 200 6102 0.000804
 handler.py: 2022-09-04 20:30:44,460 - INFO - 127.0.0.1 - - [2022-09-04 20:30:44] "GET /js/add_item.js HTTP/1.1" 200 1953 0.002051
 handler.py: 2022-09-04 20:30:44,463 - INFO - 127.0.0.1 - - [2022-09-04 20:30:44] "GET /js/start_item.js HTTP/1.1" 200 1044 0.001088
 handler.py: 2022-09-04 20:30:44,465 - INFO - 127.0.0.1 - - [2022-09-04 20:30:44] "GET /js/utils.js HTTP/1.1" 200 398 0.001077
 handler.py: 2022-09-04 20:30:46,746 - INFO - 127.0.0.1 - - [2022-09-04 20:30:46] "GET /templates/waiting_item.html HTTP/1.1" 200 1698 0.001011
 handler.py: 2022-09-04 20:30:46,761 - INFO - 127.0.0.1 - - [2022-09-04 20:30:46] "GET /css/style.css HTTP/1.1" 200 851 0.000000
 handler.py: 2022-09-04 20:30:46,763 - INFO - 127.0.0.1 - - [2022-09-04 20:30:46] "GET /eel.js HTTP/1.1" 200 6102 0.001001
 handler.py: 2022-09-04 20:30:46,764 - INFO - 127.0.0.1 - - [2022-09-04 20:30:46] "GET /js/add_item.js HTTP/1.1" 200 1953 0.001002
 handler.py: 2022-09-04 20:30:46,765 - INFO - 127.0.0.1 - - [2022-09-04 20:30:46] "GET /js/start_item.js HTTP/1.1" 200 1044 0.000997
 handler.py: 2022-09-04 20:30:46,766 - INFO - 127.0.0.1 - - [2022-09-04 20:30:46] "GET /js/utils.js HTTP/1.1" 200 398 0.001000
 handler.py: 2022-09-04 20:30:48,217 - INFO - 127.0.0.1 - - [2022-09-04 20:30:48] "GET /templates/home.html HTTP/1.1" 200 1625 0.001007
 handler.py: 2022-09-04 20:30:48,231 - INFO - 127.0.0.1 - - [2022-09-04 20:30:48] "GET /css/style.css HTTP/1.1" 200 851 0.000000
